name,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oakland,2.34,2.34,2.35,2.394,2.278,2.37,2.421,2.546,2.5
Osaka,2.49,2.41,2.49,2.438,2.222,1.952,2.327,2.413,2.456
Charleston,1.38,1.51,1.6,1.792,1.793,1.996,2.178,2.316,2.436
Yeosu Gwangyang,2.25,2.15,2.28,2.338,2.327,2.25,2.23,2.41,2.378
Callao,1.62,1.82,1.86,1.992,1.9,2.055,2.25,2.34,2.314
St Petersburg,2.37,2.52,2.52,2.374,1.715,1.458,1.849,2.13,2.221
Karachi,1.4,1.49,1.56,1.72,1.96,2.1,2.224,2.199,2.098
Gdansk,,,,,,,1.594,1.947,2.073
King Abdullah,,,,,,1.402,1.695,2.302,2.021
Haikou,,,,,,,1.64,1.85,1.97
Southampton,1.56,1.48,1.49,1.895,1.933,1.957,2.04,1.97,1.925
Jinzhou,,,,,,,,1.621,1.879
Jiaxing,,,,,,,,1.723,1.865
Mersin,1.49,1.5,1.51,1.678,1.688,1.634,1.592,1.722,1.854
Dammam,,,,,,,,1.542,1.823
Taichung,1.38,1.4,1.47,1.514,1.447,1.535,1.661,1.744,1.794
Montreal,1.36,1.38,1.36,1.402,1.446,1.448,1.538,1.679,1.745
Izmit,,,,,,,,1.598,1.715
San Antonio,,,,,,,,1.661,1.71
Guayaquil,1.41,1.45,1.52,1.621,1.765,1.822,1.872,2.064,1.681
Kingston,1.85,1.86,1.7,1.638,1.653,1.567,1.862,1.83,1.648
Taipei,,,,,,1.477,1.562,1.66,1.62
